tissue,species,f_water,f_lipids,f_proteins,f_pl,f_n_l,f_n_pl,f_a_pl,f_ew,f_iw,AR,LR,pH
Adipose,Pig,0.366,0.846,0.0001,0.001,0.845,0.0027,0.00171,0.135,0.017,0.049,0.068,7.1
Bone,Pig,0.446,0.268,0.268,0.0027,0.01265,0.00057,0.00008,0.1,0.346,0.1,0.05,7
Brain,Pig,0.774,0.17,0.09,0.073,0.097,0.0617,0.01132,0.162,0.62,0.048,0.041,7.1
Heart,Pig,0.73,0.029,0.13,0.007,0.022,0.0001,0.00074,0.32,0.456,0.157,0.16,7.1
Kidney,Pig,0.717,0.035,0.14,0.023,0.012,0.0185,0.00447,0.273,0.483,0.13,0.137,7.22
Gut,Pig,0.749,0.062,0.133,0.0138,0.0274,0.00089,0.000464,0.282,0.475,0.158,0.141,7.4
Liver,Pig,0.583,0.057,0.16,0.023,0.034,0.0195,0.00345,0.161,0.573,0.086,0.161,7.23
Lung,Pig,0.53,0.032,0.23,0.0182,0.0138,0.0106,0.00235,0.336,0.446,0.212,0.168,6.6
Muscle,Pig,0.75,0.02,0.15,0.004,0.016,0.0045,0.00079,0.079,0.63,0.064,0.059,6.81
Skin,Pig,0.645,0.122,0.13,0.037,0.085,0.035,0.0021,0.382,0.291,0.0351,0.096,7
Spleen,Pig,0.52,0.024,0.23,0.01235,0.01165,0.001616,0.001363,0.207,0.579,0.097,0.207,7
RBCs,Pig,0.662,0.004,0.33,0.003,0.001,0.0028,0.00021,NA,0.603,NA,NA,7.2
Plasma,Pig,0.96,0.005,0.07,0.002,0.003,0.0017,0.0003,NA,NA,NA,NA,7.3
